"cpg","estimate","se","p.value"
"cg18348836","0.00035562","0.00011551",0.00213
"cg18354594","-0.00027555","5.1e-05",7.91e-08
"cg18366830","-0.00020092","6.68e-05",0.00268
"cg18369654","0.00058685","9.85e-05",3.54e-09
"cg18369939","-0.00034738","9.02e-05",0.000125
"cg18383603","-0.00013927","4.29e-05",0.00119
"cg18383660","-0.00029211","8.89e-05",0.00106
"cg18384097","-0.00028998","9.25e-05",0.00176
"cg18388547","0.0002961","8.87e-05",0.000874
"cg18395189","-0.00017891","5.43e-05",0.00101
"cg18395935","0.00038295","8.01e-05",2e-06
"cg18395993","-7.36e-05","1.83e-05",6.2e-05
"cg18411043","-0.00022839","8.14e-05",0.00512
"cg18433086","-0.00045999","0.00011823",0.000106
"cg18434712","-0.00015972","4.57e-05",0.000492
"cg18494421","-8.13e-05","2.95e-05",0.00599
"cg18509466","-0.0007005","0.00011085",3.89e-10
"cg18524091","-0.00024455","7.43e-05",0.00104
"cg18552413","-0.00022304","8.29e-05",0.00725
"cg18560010","-0.00027137","8.24e-05",0.00103
"cg18565510","-0.00029409","6.01e-05",1.14e-06
"cg18568145","-0.00023613","6.01e-05",9.18e-05
"cg18592365","0.00037903","7.65e-05",8.51e-07
"cg18645081","-0.00014104","3.97e-05",0.000394
"cg18669381","0.00035123","0.00011926",0.0033
"cg18681905","-0.00015285","4.32e-05",0.000418
"cg18713316","-0.00056368","0.00013375",2.72e-05
"cg18759190","-0.00013796","4.4e-05",0.00175
"cg18759595","0.00135332","0.0002732",8.48e-07
"cg18761252","-0.00022783","5.15e-05",1.05e-05
"cg18763854","-0.00014162","5.02e-05",0.00486
"cg18767964","0.00028361","8.32e-05",0.000675
"cg18768338","0.00026167","9.17e-05",0.00441
"cg18787908","-0.00013453","4.06e-05",0.000948
"cg18791730","0.00043667","0.00011467",0.000148
"cg18801028","-9.4e-05","3.11e-05",0.00256
"cg18852096","-0.00088229","0.0001601",4.49e-08
"cg18855080","-0.00082024","0.00017089",1.82e-06
"cg18858739","-0.00035162","7.4e-05",2.3e-06
"cg18861547","-0.00018898","6.99e-05",0.00698
"cg18863135","-7.71e-05","2.48e-05",0.00195
"cg18865112","-0.00027173","7.43e-05",0.000269
"cg18865207","0.00065599","8.74e-05",1.33e-13
"cg18865272","-0.00014986","4.63e-05",0.00124
"cg18878886","-0.00019614","4.55e-05",1.74e-05
"cg18879300","0.00025877","6.35e-05",4.99e-05
"cg18881723","-0.00033724","7.25e-05",3.75e-06
"cg18882687","-0.00055485","0.00011984",4.11e-06
"cg18885125","-0.00034397","8.81e-05",0.000101
"cg18889144","-0.00037768","4.57e-05",4.44e-16
"cg18923740","-0.00071911","0.00023826",0.0026
"cg18930928","-0.00013007","4.47e-05",0.0037
"cg18931977","0.00041182","0.00011548",0.000378
"cg18941458","-9.97e-05","2.78e-05",0.00035
"cg18947016","-0.00019455","6.67e-05",0.0036
"cg18959309","0.00061765","9.75e-05",3.47e-10
"cg18966401","0.00088442","0.00011097",4.11e-15
"cg18976046","-0.00023083","8.31e-05",0.0056
"cg19020103","-0.0004952","0.00016362",0.00253
"cg19022717","0.00053149","0.00011519",4.43e-06
"cg19022978","-0.00017199","5.65e-05",0.00239
"cg19026029","-0.00017416","5.78e-05",0.00263
"cg19030740","-0.00027489","5.07e-05",7.51e-08
"cg19088634","-0.00019326","6.87e-05",0.00503
"cg19088856","-0.00011625","3.08e-05",0.000169
"cg19090549","-0.0001874","6.93e-05",0.00693
"cg19090574","-9.64e-05","3.21e-05",0.00269
"cg19091116","-0.00021941","7.68e-05",0.00438
"cg19092396","-0.00035017","0.00012408",0.00486
"cg19097500","-0.00041449","0.00011152",0.000212
"cg19125999","0.00037659","0.00011145",0.000754
"cg19159092","-0.00059985","0.00012368",1.42e-06
"cg19161251","0.0003794","8.17e-05",3.83e-06
"cg19165249","-0.00011639","3.53e-05",0.00101
"cg19165640","-0.00024084","5.8e-05",3.51e-05
"cg19165942","-0.00011119","4.13e-05",0.00727
"cg19233405","-0.00141701","0.00011887",8.13e-31
"cg19234983","-0.00032389","8.08e-05",6.5e-05
"cg19236050","-0.0001921","7.05e-05",0.00655
"cg19238380","-0.00079143","0.00010218",2.24e-14
"cg19243533","-0.00015852","5.54e-05",0.00429
"cg19244263","-0.00016189","5.02e-05",0.00131
"cg19244300","0.00035193","9.83e-05",0.00036
"cg19246549","-0.00014339","4.92e-05",0.00363
"cg19249749","-0.00010622","3.02e-05",0.000461
"cg19251719","-0.00016883","5.79e-05",0.00361
"cg19252108","0.00066806","8.79e-05",6.61e-14
"cg19260606","0.00072943","0.00013171",3.86e-08
"cg19263228","-0.00017865","4.46e-05",6.5e-05
"cg19265480","0.00110681","0.00024277",5.74e-06
"cg19266329","-0.00046918","8.4e-05",2.94e-08
"cg19267457","0.00020418","7.09e-05",0.00406
"cg19273668","0.00018012","6.75e-05",0.00775
"cg19275832","-0.00012739","4.33e-05",0.00332
"cg19276110","0.0004082","0.00014947",0.00642
"cg19296960","-0.00035497","0.00012164",0.0036
"cg19300655","-0.00024052","6.61e-05",0.000285
"cg19301934","-8.23e-05","2.91e-05",0.00471
"cg19303219","-0.00016944","5.95e-05",0.00447
"cg19306380","-8.62e-05","2.76e-05",0.00183
"cg19309616","0.00050705","0.00014207",0.000374
"cg19312427","-0.00053483","0.00010833",9.23e-07
"cg19316148","-6.44e-05","2.06e-05",0.00183
"cg19317258","-0.0002212","7.97e-05",0.00559
"cg19317333","-0.00013095","4.44e-05",0.00325
"cg19318098","-0.00035914","0.00010228",0.000465
"cg19356022","-0.00033267","0.0001168",0.00448
"cg19356311","-0.00034624","8.4e-05",4.05e-05
"cg19362478","0.00056035","9.15e-05",1.3e-09
"cg19366986","-0.00016722","6.1e-05",0.0062
"cg19375403","-0.00026463","6.33e-05",3.15e-05
"cg19382731","-0.00013313","2.66e-05",6.68e-07
"cg19399532","-0.00049236","8.43e-05",6.94e-09
"cg19401519","-0.00022694","7.16e-05",0.00157
"cg19403103","-0.0002137","7.66e-05",0.00535
"cg19403178","-0.00021185","7.47e-05",0.00464
"cg19403720","-0.00026694","5.6e-05",2.14e-06
"cg19404444","-0.00061457","0.00013612",7.05e-06
"cg19498794","0.00054609","0.00016693",0.00111
"cg19503249","-0.00047948","0.00014881",0.00131
"cg19505194","-0.00032781","0.00010135",0.00126
"cg19510565","-0.00025515","8.42e-05",0.0025
"cg19514928","-9.21e-05","3.18e-05",0.00382
"cg19583968","-9.7e-05","3.46e-05",0.0051
"cg19588327","-0.00120046","0.00022877",1.86e-07
"cg19588399","-5.92e-05","2.21e-05",0.00748
"cg19589795","-8.67e-05","2.6e-05",0.000884
"cg19595760","-0.00111726","0.0001056",6.28e-25
"cg19595835","-4.76e-05","1.68e-05",0.00462
"cg19597652","-0.00016812","3.96e-05",2.42e-05
"cg19600583","-0.00016617","5.74e-05",0.00388
"cg19601664","-9.18e-05","2.32e-05",8.14e-05
"cg19619003","-0.00116124","0.00010941",4.55e-25
"cg19619028","-0.00054435","0.0001896",0.00417
"cg19621076","0.00042797","0.00012528",0.000659
"cg19621710","0.00054639","0.00010351",1.58e-07
"cg19622662","-0.00077724","0.00010051",2.45e-14
"cg19626158","0.00046084","0.00012798",0.000332
"cg19626253","-0.00026104","5.83e-05",8.51e-06
"cg19627034","-0.0002841","0.00010144",0.00519
"cg19633205","-0.00049479","0.00012349",6.59e-05
"cg19638881","-0.00011129","3.96e-05",0.00508
"cg19645639","0.0003869","8.97e-05",1.77e-05
"cg19676238","-1e-04","3.5e-05",0.00439
"cg19677267","-0.00085277","0.00019806",1.82e-05
"cg19678564","-0.00014367","4.32e-05",0.000909
"cg19680850","-0.00026405","8.54e-05",0.00205
"cg19692322","-0.00034752","9.58e-05",3e-04
"cg19693031","-0.00024184","9.02e-05",0.00748
"cg19695266","-0.00075382","5.87e-05",4.06e-35
"cg19695867","-0.00054683","0.00011248",1.34e-06
"cg19704755","-0.00042346","0.00012917",0.00108
"cg19706803","-9.48e-05","3.5e-05",0.00692
"cg19708306","-0.00016894","4.69e-05",0.000334
"cg19708901","0.00053346","0.00010483",4.26e-07
"cg19713429","-0.00076931","0.00012133",3.39e-10
"cg19718359","0.00032393","9.29e-05",0.000512
"cg19721764","-7.33e-05","2.51e-05",0.00359
"cg19721787","0.00027887","6.53e-05",2.13e-05
"cg19726343","-0.00022186","5.89e-05",0.000173
"cg19727059","-0.00010825","3.93e-05",0.00596
"cg19727124","-0.00038095","7.24e-05",1.76e-07
"cg19728577","-0.00020436","6.91e-05",0.00319
"cg19734536","-0.0002696","6.8e-05",7.86e-05
"cg19736900","-0.00037746","9.41e-05",6.44e-05
"cg19743891","-0.00035502","0.00013205",0.00729
"cg19746186","-0.00035036","0.00012017",0.00363
"cg19746567","-0.00017158","5.55e-05",0.00206
"cg19747992","-0.0002136","5.89e-05",0.000304
"cg19748495","-0.00011079","2.91e-05",0.000145
"cg19749224","0.00023548","8.36e-05",0.00492
"cg19757176","-0.00057889","0.00011726",9.23e-07
"cg19759478","0.00070978","0.00011559",1.16e-09
"cg19760243","-0.00017352","5.39e-05",0.00133
"cg19769989","-0.00011262","3.13e-05",0.000339
"cg19773311","-0.0001859","5.84e-05",0.00149
"cg19776942","-0.00039951","6.36e-05",4.98e-10
"cg19778462","-0.00018175","5.86e-05",0.00199
"cg19779057","-0.00025312","8.77e-05",0.00399
"cg19797376","-0.00090225","0.00010848",2.76e-16
"cg19803229","-0.0002002","6.31e-05",0.00154
"cg19804525","-9.01e-05","3.14e-05",0.00418
"cg19805160","0.00040386","0.00012973",0.0019
"cg19813226","0.00031817","0.00011579",0.0061
"cg19814116","-8.08e-05","3.01e-05",0.00738
"cg19818016","0.00023853","8.02e-05",0.003
"cg19823490","-0.00023748","7.99e-05",0.00303
"cg19824710","0.00052161","0.00015475",0.000777
"cg19827182","-0.00012934","4.1e-05",0.00167
"cg19827875","0.00069458","0.00024912",0.0054
"cg19862782","-0.00019628","7.08e-05",0.00565
"cg19863456","-0.00028577","0.00010395",0.00608
"cg19864048","-0.0001547","5.74e-05",0.00715
"cg19868751","-0.00019127","5.61e-05",0.000671
"cg19897874","-0.0001284","4.74e-05",0.00686
"cg19900387","-0.00013272","3.26e-05",5.16e-05
"cg19907725","-0.00021798","7.99e-05",0.00648
"cg19911850","-0.00019018","6.32e-05",0.00268
"cg19913496","0.00046814","9e-05",2.38e-07
"cg19923360","-0.00019103","6.14e-05",0.00191
"cg19925186","-0.00025331","5.47e-05",4.16e-06
"cg19925558","-0.00011039","2.7e-05",4.64e-05
"cg19936954","0.00030266","0.00010441",0.00382
"cg19939503","-8.76e-05","3.23e-05",0.00672
"cg19942256","-0.00024751","8.36e-05",0.00314
"cg19963589","-0.00028634","5.77e-05",8.09e-07
"cg20000132","0.00023982","7.37e-05",0.00118
"cg20000908","-0.00018546","6.03e-05",0.00216
"cg20002843","-0.00039271","0.00010597",0.000222
"cg20014412","0.00047114","0.00010307",5.42e-06
"cg20060394","-0.00013932","5.01e-05",0.00549
"cg20060474","-0.00024276","6.85e-05",0.000415
"cg20064693","-0.00018914","6.83e-05",0.00572
"cg20065005","-0.00040875","7.72e-05",1.46e-07
"cg20141108","-0.00042036","9.99e-05",2.81e-05
"cg20146105","0.00024393","5.46e-05",8.91e-06
"cg20151494","0.00071805","0.00024061",0.00291
"cg20155035","-0.00029474","0.00010293",0.00427
"cg20156116","-0.00091168","0.00012025",7.49e-14
"cg20156985","0.0006107","8.25e-05",2.69e-13
"cg20157693","-0.00010753","3.6e-05",0.00285
"cg20160182","-9.2e-05","2.84e-05",0.00121
"cg20167074","0.00078662","0.00019783",7.48e-05
"cg20167471","-0.00014534","4.36e-05",0.000888
"cg20168837","-0.00042986","0.00014711",0.00355
"cg20168901","0.00020396","7.06e-05",0.00397
"cg20169015","0.00049469","0.00011718",2.63e-05
"cg20169506","-8.18e-05","2.49e-05",0.00105
"cg20239639","-0.0011105","0.00010872",2.03e-23
"cg20240091","-0.0003177","8.85e-05",0.000346
"cg20240347","-0.00034433","0.00010589",0.00118
"cg20240791","-0.00026829","5.92e-05",6.5e-06
"cg20248421","-6.63e-05","2.47e-05",0.00729
"cg20251225","-0.00076029","0.00012636",2.45e-09
"cg20253872","-0.00092979","7.34e-05",2.31e-34
"cg20262818","0.00037053","0.0001061",0.000499
"cg20269544","0.00041673","9.68e-05",1.84e-05
"cg20269554","-0.00011811","4.15e-05",0.00453
"cg20271330","-0.00037028","9.72e-05",0.000148
"cg20276103","-0.0001315","4.1e-05",0.00137
"cg20277740","-0.00014801","4.98e-05",0.003
"cg20277781","-0.00014512","4.49e-05",0.00127
"cg20285026","0.00023793","6.53e-05",0.00028
"cg20285128","-5.74e-05","2.13e-05",0.00718
"cg20286956","0.0008037","0.00015853",4.7e-07
"cg20287514","0.00052439","8.63e-05",1.75e-09
"cg20290360","0.00017209","5.59e-05",0.00215
"cg20292636","0.00025516","8.32e-05",0.00222
"cg20297631","-8.5e-05","2.31e-05",0.00025
"cg20300911","-0.00020127","5.58e-05",0.000326
"cg20301308","-0.00081473","7.79e-05",1.95e-24
"cg20309606","-0.00011089","3.93e-05",0.0049
"cg20309640","0.0003237","0.00011247",0.00408
"cg20312179","-0.00037924","0.00014216",0.00775
"cg20312390","-0.00027899","9.57e-05",0.00361
"cg20316440","-0.00047054","9.84e-05",2e-06
"cg20317437","0.00029736","7.56e-05",8.91e-05
"cg20320200","0.00051911","0.00014314",0.000301
"cg20326928","0.00035973","5.84e-05",1e-09
"cg20332660","-0.00029201","7.22e-05",5.58e-05
"cg20333836","-7.76e-05","2.43e-05",0.00144
"cg20334115","-0.00368858","0.00021713",2.23e-57
"cg20375690","-7.58e-05","2.82e-05",0.00724
"cg20383766","-0.00019163","4.69e-05",4.69e-05
"cg20387712","-5.01e-05","1.68e-05",0.00299
"cg20410537","-0.00030138","7.79e-05",0.000117
"cg20411127","-0.00017807","6.19e-05",0.00409
"cg20415848","-0.00022065","6.9e-05",0.00142
"cg20418507","-0.00015784","4.6e-05",0.000621
"cg20420249","-0.00033116","0.00011862",0.00534
"cg20429981","-0.00067227","0.00011148",2.26e-09
"cg20430572","-9.23e-05","3.17e-05",0.00362
"cg20434422","0.00064213","0.00010992",6.89e-09
"cg20449670","-0.00052733","0.00012395",2.28e-05
"cg20457594","-0.00019737","4.45e-05",1.04e-05
"cg20457732","0.00080174","0.00022361",0.000352
"cg20462899","-7.95e-05","2.93e-05",0.0068
"cg20484086","0.00029839","6.41e-05",3.71e-06
"cg20489289","-0.00020808","7.46e-05",0.00541
"cg20492807","-0.00010733","3.58e-05",0.00278
"cg20510033","-0.00047828","0.00011354",2.74e-05
"cg20510272","0.00075053","0.00013268",1.99e-08
"cg20522675","-0.00050509","0.00010223",9.06e-07
"cg20530056","0.00026912","6.72e-05",6.57e-05
"cg20569588","-0.00046352","8.31e-05",3.06e-08
"cg20577019","-5.07e-05","1.71e-05",0.00303
"cg20577479","-0.00017782","6.27e-05",0.00465
"cg20593826","0.00173314","0.00019084",5.16e-19
"cg20594765","0.00052241","0.00011145",3.13e-06
"cg20597172","-0.00024036","8.57e-05",0.00511
"cg20607293","0.00029627","0.00010828",0.00632
"cg20610274","-0.00028769","9.08e-05",0.00158
"cg20611334","-0.00021685","7.86e-05",0.00587
"cg20615827","-8.71e-05","2.73e-05",0.00143
"cg20628733","-0.00011136","3.2e-05",0.000521
"cg20628743","-8.75e-05","3.2e-05",0.00631
"cg20633321","-0.00043857","0.0001142",0.00013
"cg20634475","0.00016482","4.76e-05",0.000554
"cg20634514","-0.00027461","8.86e-05",0.00199
"cg20651453","-0.00026977","6.34e-05",2.26e-05
"cg20664247","0.00044852","0.00010132",1.06e-05
"cg20671649","0.00027286","8.36e-05",0.00114
"cg20671910","0.00076716","0.00010993",5.27e-12
"cg20674490","-0.00051113","9.24e-05",4.05e-08
"cg20678800","0.00045389","0.00011822",0.000131
"cg20680726","0.00038901","8.58e-05",6.49e-06
"cg20681653","-7.95e-05","2.91e-05",0.0064
"cg20682146","0.00051105","0.00015727",0.00119
"cg20682390","-0.00016417","6.13e-05",0.00748
"cg20685736","-0.00019127","6.76e-05",0.00476
"cg20686176","-0.0001672","5.5e-05",0.00245
"cg20686828","0.00037272","9.43e-05",8.26e-05
"cg20692268","-0.00145153","0.00013331",3.11e-26
"cg20695936","0.00034909","7.86e-05",9.81e-06
"cg20697417","0.00063432","0.00010506",2.17e-09
"cg20697519","-0.00026699","8.39e-05",0.0015
"cg20700731","0.00025957","9.32e-05",0.00546
"cg20701183","0.00050859","0.00012129",2.98e-05
"cg20701556","0.00048186","0.00017358",0.0056
"cg20705469","-0.00018159","4.57e-05",7.52e-05
"cg20707774","-0.00015743","5.81e-05",0.00684
"cg20738274","0.00029854","7.59e-05",8.98e-05
"cg20740051","0.00034262","8.29e-05",3.88e-05
"cg20741134","-0.00011413","3.9e-05",0.00353
"cg20744756","0.00066063","0.00014369",4.79e-06
"cg20768358","0.00069952","0.00019175",0.000277
"cg20768915","0.00027476","8.77e-05",0.00178
"cg20772512","0.00040684","0.0001332",0.00231
"cg20784098","-0.00024201","6.91e-05",0.000479
"cg20785560","0.00036239","0.00012314",0.00332
"cg20787665","-0.00027078","6.64e-05",4.9e-05
"cg20790367","-0.00055586","0.00010866",3.72e-07
"cg20793071","-0.00056292","8.56e-05",7.47e-11
"cg20803783","-9.75e-05","3.02e-05",0.00129
"cg20806274","-0.00010812","4.05e-05",0.00775
"cg20806427","0.00064314","0.00014632",1.22e-05
"cg20815571","-0.00017643","4.98e-05",0.000416
"cg20816361","0.00059473","0.00016965",0.000475
"cg20817257","-0.00019047","5.66e-05",0.000786
"cg20817941","0.00031874","8.5e-05",0.000188
"cg20820107","-0.00089211","8.22e-05",4.34e-26
"cg20822990","-0.00024774","8.3e-05",0.00292
"cg20825023","-0.00030396","0.00010057",0.00257
"cg20826162","-0.00011879","3.95e-05",0.00271
"cg20845544","6.6e-05","2.24e-05",0.00326
"cg20847292","-0.00024068","7.34e-05",0.00108
"cg20848343","-0.00023667","5.65e-05",3.04e-05
"cg20849957","-0.00019505","5.1e-05",0.000137
"cg20930320","0.00040467","8.58e-05",2.74e-06
"cg20931951","-0.00013799","5.04e-05",0.00631
"cg20933326","-0.00020851","7.63e-05",0.00637
"cg20934881","-0.00064566","0.00011122",8.51e-09
"cg20940675","-0.00062498","0.00022636",0.00586
"cg20941184","-0.0002317","8.66e-05",0.00756
"cg20942219","-0.00014248","5.09e-05",0.00525
"cg20944283","0.00032601","8.59e-05",0.000155
"cg20947259","-0.00010114","3.4e-05",0.00299
"cg20951194","-0.00026095","7.3e-05",0.000367
"cg20951444","0.00037341","9.45e-05",8.23e-05
"cg20965527","0.00057405","9.17e-05",5.66e-10
"cg20970380","0.00028528","6.15e-05",3.95e-06
"cg20972167","-0.00012914","3.98e-05",0.00122
"cg20974822","-0.00015569","5e-05",0.0019
"cg20975074","-0.00020211","7.25e-05",0.00542
"cg20975182","-0.00041203","7.98e-05",2.88e-07
"cg20975414","0.00037446","9.69e-05",0.000118
"cg20977426","-9.19e-05","2.92e-05",0.00167
"cg20981107","-0.00013349","4.51e-05",0.00318
"cg20986726","-0.00011679","3.22e-05",0.000302
"cg20986832","0.00017571","5.3e-05",0.000947
"cg20988960","-0.00013158","4.32e-05",0.00236
"cg20994801","-0.00043159","8.34e-05",2.77e-07
"cg20994950","-0.00015572","3.63e-05",1.95e-05
"cg20999797","-0.00013247","4.34e-05",0.00234
"cg21001273","-0.00016407","5.28e-05",0.00193
"cg21010178","-0.00014747","5.28e-05",0.00531
"cg21010197","-4.73e-05","1.73e-05",0.00623
"cg21039631","-0.00014973","3.08e-05",1.39e-06
"cg21057046","0.00035736","0.00012967",0.00595
"cg21101726","-0.00016635","3.91e-05",2.28e-05
"cg21105875","0.00097779","0.00029937",0.00113
"cg21111500","0.00017329","5.57e-05",0.00191
"cg21112485","-9.77e-05","2.78e-05",0.000451
"cg21113746","0.00022348","7.52e-05",0.00303
"cg21116077","0.00044369","0.00014845",0.00286
"cg21139587","-0.00015486","4.62e-05",0.000827
"cg21142743","-0.00030824","8.77e-05",0.000459
"cg21142904","-0.00034558","6.1e-05",1.9e-08
"cg21143899","-0.00016078","5.05e-05",0.0015
"cg21144928","0.00032077","7.84e-05",4.66e-05
"cg21147983","-0.00018217","3.79e-05",1.76e-06
"cg21155367","-0.00015203","4.09e-05",0.000213
"cg21155609","-0.0003193","7.52e-05",2.39e-05
"cg21156129","-7.08e-05","2.26e-05",0.0018
"cg21156590","-0.0001002","3.07e-05",0.00112
"cg21161394","-0.00053285","7.42e-05",1.33e-12
"cg21167628","-0.00014448","5.41e-05",0.00766
"cg21167817","-5.87e-05","2.05e-05",0.00432
"cg21171625","0.00050019","9.88e-05",4.84e-07
"cg21184320","-7.33e-05","2.54e-05",0.00401
"cg21187265","-0.00033176","9.98e-05",0.000913
"cg21189909","0.00030411","8.23e-05",0.000233
"cg21197219","-0.00012154","3.2e-05",0.000152
"cg21197435","-9.39e-05","2.92e-05",0.00134
"cg21198021","-0.00013206","4.44e-05",0.00303
"cg21199495","-0.00036156","9.04e-05",6.77e-05
"cg21206770","-0.00036316","8.35e-05",1.49e-05
"cg21208518","-0.00022064","5.95e-05",0.000219
"cg21212196","-0.00010145","3.26e-05",0.00192
"cg21214613","-0.0001516","4.69e-05",0.00127
"cg21220403","0.00034091","0.00010364",0.00104
"cg21220721","-0.0002462","6.76e-05",0.000283
"cg21262776","-0.00023351","4.95e-05",2.72e-06
"cg21268658","0.00049266","9.93e-05",8.1e-07
"cg21270743","-0.00010323","3.55e-05",0.00367
"cg21279996","-0.0001986","6.72e-05",0.00319
"cg21282837","-0.00018161","6.49e-05",0.00521
"cg21284779","-0.00032113","0.00010006",0.00137
"cg21285198","0.00055822","0.00010966",4.23e-07
"cg21288716","-0.00013117","4.47e-05",0.00343
"cg21291672","0.00042743","0.00012756",0.000834
"cg21295838","-0.00049805","0.00010272",1.43e-06
"cg21297673","-6.51e-05","2.3e-05",0.00463
"cg21301514","-0.00022574","5.64e-05",6.62e-05
"cg21303386","-0.00011793","3.75e-05",0.00169
"cg21304454","-0.00016338","5.46e-05",0.00283
"cg21363811","0.0014495","0.00024017",2.2e-09
"cg21386414","0.00050532","0.00015853",0.00148
"cg21387604","-0.00015515","4.14e-05",0.000185
"cg21391942","-0.00014612","4.67e-05",0.0018
"cg21393163","-0.00041971","0.00010948",0.000134
"cg21396211","-0.00026121","8.76e-05",0.00294
"cg21397588","-0.00014908","3.41e-05",1.35e-05
"cg21405929","-0.00016933","4.78e-05",0.00041
"cg21407117","-0.00024427","7.69e-05",0.00154
"cg21408360","0.00058267","0.00010071",9.54e-09
"cg21409829","-0.00011141","3.56e-05",0.00183
"cg21410806","-0.00016898","5.28e-05",0.00141
"cg21412992","-0.00010779","3.4e-05",0.00158
"cg21416692","-0.00019802","7.28e-05",0.00662
"cg21417130","-0.00025651","6.92e-05",0.000222
"cg21422605","-0.00021727","5.9e-05",0.000242
"cg21422740","-0.0002884","6.03e-05",1.94e-06
"cg21436544","-0.0003482","0.00010349",0.000794
"cg21451906","-0.00030907","7.9e-05",9.73e-05
"cg21471199","-0.00040655","0.00011735",0.000553
"cg21472953","-0.00010285","3.64e-05",0.00486
"cg21476940","-0.00059173","0.00015808",0.000191
"cg21488617","0.00055049","0.00010087",6.02e-08
"cg21515744","-8.24e-05","2.94e-05",0.00517
"cg21527621","-0.00045913","5.49e-05",1.96e-16
"cg21537214","-0.00035003","7.13e-05",1.07e-06
"cg21541341","-0.00025607","8.03e-05",0.00147
"cg21545605","0.00038813","9.24e-05",2.87e-05
"cg21545720","-0.00061399","8.84e-05",6.52e-12
"cg21568910","-0.0001713","5.3e-05",0.00128
"cg21570709","-0.00072291","0.00012774",1.96e-08
"cg21571466","-0.00010897","2.75e-05",7.84e-05
"cg21577836","0.00031641","0.00010164",0.0019
"cg21580588","-5.57e-05","1.83e-05",0.00243
"cg21581873","-0.00013562","3.67e-05",0.000235
"cg21582695","0.00027848","0.00010349",0.00724
"cg21596858","-0.00019353","4.57e-05",2.52e-05
"cg21604136","-0.00038861","6.14e-05",3.54e-10
"cg21604450","-0.00012931","3.11e-05",3.49e-05
"cg21607172","-0.00082043","0.00012344",4.82e-11
"cg21609624","-0.000169","5.26e-05",0.00134
"cg21639031","0.00038151","0.00010134",0.000176
"cg21643748","0.00035704","8.11e-05",1.19e-05
"cg21646025","-0.00024355","4.82e-05",5.1e-07
"cg21647780","-6.56e-05","1.9e-05",0.000562
"cg21681184","-0.00017661","5.9e-05",0.00283
"cg21681320","-0.00055567","7.15e-05",1.83e-14
"cg21682432","-9.59e-05","3.19e-05",0.00272
"cg21683069","0.00094855","0.00021961",1.71e-05
"cg21683105","-0.00025878","8.74e-05",0.00312
"cg21684179","-0.0002703","9.2e-05",0.00339
"cg21686694","-0.00017805","3.55e-05",6.1e-07
"cg21689075","-7.77e-05","2.79e-05",0.00543
"cg21689824","-0.00049245","0.00014536",0.000731
"cg21691065","-0.00158417","0.00014429",1.26e-26
"cg21692308","0.00026988","9.55e-05",0.00479
"cg21693907","-8.57e-05","2.28e-05",0.000174
"cg21694350","0.00026124","8.24e-05",0.00156
"cg21710324","-0.00067589","6.12e-05",6.93e-27
"cg21731286","-0.00016789","5.12e-05",0.00108
"cg21774136","-0.00033112","0.0001145",0.00391
"cg21775279","0.00021927","5.77e-05",0.000151
"cg21775570","-0.00057369","9.21e-05",6.89e-10
"cg21776599","-0.00027316","7.62e-05",0.000354
"cg21776674","-0.00023623","6.47e-05",0.000275
"cg21783847","-0.00034137","9.67e-05",0.000435
"cg21785067","-0.00027719","9.89e-05",0.00517
"cg21785384","0.000451","0.00011002",4.46e-05
"cg21786227","-0.00065652","6.5e-05",5.97e-23
"cg21786289","-0.00019425","4.85e-05",6.59e-05
"cg21789941","-0.00049793","0.00010976",6.38e-06
"cg21807694","-0.00019369","4.48e-05",1.66e-05
"cg21810793","-0.00016685","6.06e-05",0.00599
"cg21813101","0.00018031","3.87e-05",3.54e-06
"cg21813747","0.00073751","0.0001373",9.61e-08
"cg21815220","-0.00038759","8.53e-05",6.23e-06
"cg21824010","0.00041446","9.16e-05",6.74e-06
"cg21829239","-0.00144899","0.00016869",3.1e-17
"cg21830313","-6.75e-05","2.27e-05",0.00305
"cg21832150","-0.00011108","3.23e-05",6e-04
"cg21837069","-0.00090743","8.98e-05",5.79e-23
"cg21837189","-0.00031064","7.84e-05",7.94e-05
"cg21848084","-0.00065677","0.00010529",6.42e-10
"cg21851530","-0.00011238","4.04e-05",0.00555
"cg21859019","-0.00011672","3.87e-05",0.00262
"cg21859455","-0.00027482","6.99e-05",8.92e-05
"cg21861174","-0.00018142","4.62e-05",9.01e-05
"cg21862529","-0.00071875","9.82e-05",4.88e-13
"cg21869913","-0.00019863","6.73e-05",0.00321
"cg21870645","-0.00010784","2.56e-05",2.84e-05
"cg21876925","-0.00067921","0.00014419",2.8e-06
"cg21906083","-0.00012837","4.32e-05",0.00304
"cg21908287","-5.72e-05","2.13e-05",0.00727
"cg21915368","-0.00012136","4.46e-05",0.00665
"cg21919596","-0.0008184","0.0001367",2.93e-09
"cg21920015","-8.56e-05","3.01e-05",0.00457
"cg21921630","-0.00020032","5.71e-05",0.000469
"cg21929761","-0.00032519","9.41e-05",0.000573
"cg21929781","-0.00014706","4.22e-05",0.000518
"cg21932513","0.00027657","7.67e-05",0.000328
"cg21934230","-0.00032222","7.9e-05",4.92e-05
"cg21937128","-0.00024459","8.56e-05",0.00437
"cg21950720","-0.00023053","6.75e-05",0.000662
"cg21959457","0.00042195","0.00012434",0.000715
"cg21961270","-0.0001693","4.51e-05",0.000184
"cg21965995","0.0005826","0.00010072",9.59e-09
